Country Name,Country Code,year,gdp,Region,IncomeGroup
France,FRA,1960-01-01,61756878990.3,Europe & Central Asia,High income
Faroe Islands,FRO,1960-01-01,,Europe & Central Asia,High income
"Micronesia, Fed. Sts.",FSM,1960-01-01,,East Asia & Pacific,Lower middle income
Gabon,GAB,1960-01-01,141468977.799846,Sub-Saharan Africa,Upper middle income
United Kingdom,GBR,1960-01-01,73233967692.1028,Europe & Central Asia,High income
Georgia,GEO,1960-01-01,,Europe & Central Asia,Upper middle income
Ghana,GHA,1960-01-01,1217230094.97205,Sub-Saharan Africa,Lower middle income
Gibraltar,GIB,1960-01-01,,Europe & Central Asia,High income
Guinea,GIN,1960-01-01,,Sub-Saharan Africa,Lower middle income
"Gambia, The",GMB,1960-01-01,,Sub-Saharan Africa,Low income
Guinea-Bissau,GNB,1960-01-01,,Sub-Saharan Africa,Low income
Equatorial Guinea,GNQ,1960-01-01,,Sub-Saharan Africa,Upper middle income
Greece,GRC,1960-01-01,4274890306.82895,Europe & Central Asia,High income
Grenada,GRD,1960-01-01,,Latin America & Caribbean,Upper middle income
Greenland,GRL,1960-01-01,,Europe & Central Asia,High income
Guatemala,GTM,1960-01-01,1043599900.0,Latin America & Caribbean,Upper middle income
Guam,GUM,1960-01-01,,East Asia & Pacific,High income
Guyana,GUY,1960-01-01,170216241.126064,Latin America & Caribbean,High income
High income,HIC,1960-01-01,1092551546744.34,,
"Hong Kong SAR, China",HKG,1960-01-01,1320796651.69457,East Asia & Pacific,High income
Honduras,HND,1960-01-01,335650000.0,Latin America & Caribbean,Lower middle income
Heavily indebted poor countries (HIPC),HPC,1960-01-01,21764253547.1735,,
Croatia,HRV,1960-01-01,,Europe & Central Asia,High income
Haiti,HTI,1960-01-01,273187200.0,Latin America & Caribbean,Lower middle income
Hungary,HUN,1960-01-01,,Europe & Central Asia,High income
IBRD only,IBD,1960-01-01,317482813174.278,,
IDA & IBRD total,IBT,1960-01-01,361892242003.14,,
IDA total,IDA,1960-01-01,43246282845.0914,,
IDA blend,IDB,1960-01-01,11879974957.7978,,
Indonesia,IDN,1960-01-01,,East Asia & Pacific,Upper middle income
IDA only,IDX,1960-01-01,32343504360.8959,,
Isle of Man,IMN,1960-01-01,,Europe & Central Asia,High income
India,IND,1960-01-01,37029883876.1839,South Asia,Lower middle income
Not classified,INX,1960-01-01,,,
Ireland,IRL,1960-01-01,1998550221.80554,Europe & Central Asia,High income
"Iran, Islamic Rep.",IRN,1960-01-01,4199134389.90099,Middle East & North Africa,Upper middle income
Iraq,IRQ,1960-01-01,1537252193.09912,Middle East & North Africa,Upper middle income
Iceland,ISL,1960-01-01,252169712.042125,Europe & Central Asia,High income
Israel,ISR,1960-01-01,3064824613.79481,Middle East & North Africa,High income
Italy,ITA,1960-01-01,42012422612.3955,Europe & Central Asia,High income
Jamaica,JAM,1960-01-01,699064380.374248,Latin America & Caribbean,Upper middle income
Jordan,JOR,1960-01-01,,Middle East & North Africa,Lower middle income
Japan,JPN,1960-01-01,47419238274.4619,East Asia & Pacific,High income
Kazakhstan,KAZ,1960-01-01,,Europe & Central Asia,Upper middle income
Kenya,KEN,1960-01-01,791265459.493816,Sub-Saharan Africa,Lower middle income
Kyrgyz Republic,KGZ,1960-01-01,,Europe & Central Asia,Lower middle income
Cambodia,KHM,1960-01-01,,East Asia & Pacific,Lower middle income
Kiribati,KIR,1960-01-01,,East Asia & Pacific,Lower middle income
St. Kitts and Nevis,KNA,1960-01-01,12366635.7500773,Latin America & Caribbean,High income
"Korea, Rep.",KOR,1960-01-01,3958811881.18812,East Asia & Pacific,High income
Kuwait,KWT,1960-01-01,,Middle East & North Africa,High income
Latin America & Caribbean (excluding high income),LAC,1960-01-01,68130522456.4681,,
Lao PDR,LAO,1960-01-01,,East Asia & Pacific,Lower middle income
Lebanon,LBN,1960-01-01,,Middle East & North Africa,Lower middle income
Liberia,LBR,1960-01-01,190495600.0,Sub-Saharan Africa,Low income
Libya,LBY,1960-01-01,401644248.9423,Middle East & North Africa,Upper middle income
St. Lucia,LCA,1960-01-01,,Latin America & Caribbean,Upper middle income
Latin America & Caribbean,LCN,1960-01-01,84329838400.428,,
Least developed countries: UN classification,LDC,1960-01-01,28125007491.2245,,
Low income,LIC,1960-01-01,14591716825.8757,,
Liechtenstein,LIE,1960-01-01,,Europe & Central Asia,High income
Sri Lanka,LKA,1960-01-01,1409873949.57983,South Asia,Lower middle income
Lower middle income,LMC,1960-01-01,85185625016.4477,,
Low & middle income,LMY,1960-01-01,276980151259.581,,
Lesotho,LSO,1960-01-01,34579986.1680055,Sub-Saharan Africa,Lower middle income
Late-demographic dividend,LTE,1960-01-01,183039562224.255,,
Lithuania,LTU,1960-01-01,,Europe & Central Asia,High income
Luxembourg,LUX,1960-01-01,709941874.044355,Europe & Central Asia,High income
Latvia,LVA,1960-01-01,,Europe & Central Asia,High income
"Macao SAR, China",MAC,1960-01-01,,East Asia & Pacific,High income
St. Martin (French part),MAF,1960-01-01,,Latin America & Caribbean,High income
Morocco,MAR,1960-01-01,2037154741.93211,Middle East & North Africa,Lower middle income
Monaco,MCO,1960-01-01,,Europe & Central Asia,High income
Moldova,MDA,1960-01-01,,Europe & Central Asia,Upper middle income
Madagascar,MDG,1960-01-01,673081724.751168,Sub-Saharan Africa,Low income
Maldives,MDV,1960-01-01,,South Asia,Upper middle income
Middle East & North Africa,MEA,1960-01-01,25169910581.9324,,
Mexico,MEX,1960-01-01,13040000000.0,Latin America & Caribbean,Upper middle income
Marshall Islands,MHL,1960-01-01,,East Asia & Pacific,Upper middle income
Middle income,MIC,1960-01-01,263792074041.094,,
North Macedonia,MKD,1960-01-01,,Europe & Central Asia,Upper middle income
Mali,MLI,1960-01-01,,Sub-Saharan Africa,Low income
Malta,MLT,1960-01-01,,Middle East & North Africa,High income
Myanmar,MMR,1960-01-01,545098447.640862,East Asia & Pacific,Lower middle income
Middle East & North Africa (excluding high income),MNA,1960-01-01,18009066976.6514,,
Montenegro,MNE,1960-01-01,,Europe & Central Asia,Upper middle income
Mongolia,MNG,1960-01-01,,East Asia & Pacific,Upper middle income
Northern Mariana Islands,MNP,1960-01-01,,East Asia & Pacific,High income
Mozambique,MOZ,1960-01-01,,Sub-Saharan Africa,Low income
Mauritania,MRT,1960-01-01,,Sub-Saharan Africa,Lower middle income
Mauritius,MUS,1960-01-01,162089563.829564,Sub-Saharan Africa,Upper middle income
Malawi,MWI,1960-01-01,,Sub-Saharan Africa,Low income
Malaysia,MYS,1960-01-01,1916229477.13657,East Asia & Pacific,Upper middle income
North America,NAC,1960-01-01,582624755153.847,,
Namibia,NAM,1960-01-01,,Sub-Saharan Africa,Upper middle income
New Caledonia,NCL,1960-01-01,,East Asia & Pacific,High income
Niger,NER,1960-01-01,449526873.29589,Sub-Saharan Africa,Low income
Nigeria,NGA,1960-01-01,4196174501.5302,Sub-Saharan Africa,Lower middle income
Nicaragua,NIC,1960-01-01,227223322.141537,Latin America & Caribbean,Lower middle income
Netherlands,NLD,1960-01-01,13282979014.563,Europe & Central Asia,High income
Norway,NOR,1960-01-01,5197398721.41367,Europe & Central Asia,High income
Nepal,NPL,1960-01-01,508334413.965087,South Asia,Lower middle income
Nauru,NRU,1960-01-01,,East Asia & Pacific,High income
New Zealand,NZL,1960-01-01,5536098606.29231,East Asia & Pacific,High income
OECD members,OED,1960-01-01,1061139061863.14,,
Oman,OMN,1960-01-01,44234653.976659,Middle East & North Africa,High income
Other small states,OSS,1960-01-01,,,
Pakistan,PAK,1960-01-01,3749265014.69971,South Asia,Lower middle income
Panama,PAN,1960-01-01,537147100.0,Latin America & Caribbean,High income
Peru,PER,1960-01-01,2571986572.12719,Latin America & Caribbean,Upper middle income
Philippines,PHL,1960-01-01,7515894110.56487,East Asia & Pacific,Lower middle income
Palau,PLW,1960-01-01,,East Asia & Pacific,High income
Papua New Guinea,PNG,1960-01-01,230496036.879366,East Asia & Pacific,Lower middle income
Poland,POL,1960-01-01,,Europe & Central Asia,High income
Pre-demographic dividend,PRE,1960-01-01,24374805009.0909,,
Puerto Rico,PRI,1960-01-01,1691900000.0,Latin America & Caribbean,High income
"Korea, Dem. People's Rep.",PRK,1960-01-01,,East Asia & Pacific,Low income
Portugal,PRT,1960-01-01,3339150157.85605,Europe & Central Asia,High income
Paraguay,PRY,1960-01-01,288884368.016934,Latin America & Caribbean,Upper middle income
West Bank and Gaza,PSE,1960-01-01,,Middle East & North Africa,Lower middle income
Pacific island small states,PSS,1960-01-01,,,
Post-demographic dividend,PST,1960-01-01,1036595543314.38,,
French Polynesia,PYF,1960-01-01,,East Asia & Pacific,High income
Qatar,QAT,1960-01-01,,Middle East & North Africa,High income
Romania,ROU,1960-01-01,,Europe & Central Asia,High income
Russian Federation,RUS,1960-01-01,,Europe & Central Asia,High income
Rwanda,RWA,1960-01-01,119000024.0,Sub-Saharan Africa,Low income
South Asia,SAS,1960-01-01,47274328378.8543,,
Saudi Arabia,SAU,1960-01-01,1748124063.55556,Middle East & North Africa,High income
Sudan,SDN,1960-01-01,1126364161.7644,Sub-Saharan Africa,Low income
Senegal,SEN,1960-01-01,1003692370.46869,Sub-Saharan Africa,Lower middle income
Singapore,SGP,1960-01-01,704751700.302494,East Asia & Pacific,High income
Solomon Islands,SLB,1960-01-01,,East Asia & Pacific,Lower middle income
Sierra Leone,SLE,1960-01-01,322009961.547048,Sub-Saharan Africa,Low income
El Salvador,SLV,1960-01-01,,Latin America & Caribbean,Upper middle income
San Marino,SMR,1960-01-01,,Europe & Central Asia,High income
Somalia,SOM,1960-01-01,180459936.776025,Sub-Saharan Africa,Low income
Serbia,SRB,1960-01-01,,Europe & Central Asia,Upper middle income
Sub-Saharan Africa (excluding high income),SSA,1960-01-01,35988399588.8194,,
South Sudan,SSD,1960-01-01,,Sub-Saharan Africa,Low income
Sub-Saharan Africa,SSF,1960-01-01,35999878594.0433,,
Small states,SST,1960-01-01,,,
Sao Tome and Principe,STP,1960-01-01,,Sub-Saharan Africa,Lower middle income
Suriname,SUR,1960-01-01,99650000.0,Latin America & Caribbean,Upper middle income
Slovak Republic,SVK,1960-01-01,,Europe & Central Asia,High income
Slovenia,SVN,1960-01-01,,Europe & Central Asia,High income
Sweden,SWE,1960-01-01,15930258332.069,Europe & Central Asia,High income
Eswatini,SWZ,1960-01-01,35076845.9692616,Sub-Saharan Africa,Lower middle income
Sint Maarten (Dutch part),SXM,1960-01-01,,Latin America & Caribbean,High income
Seychelles,SYC,1960-01-01,12012024.6246505,Sub-Saharan Africa,High income
Syrian Arab Republic,SYR,1960-01-01,857704413.407821,Middle East & North Africa,Low income
Turks and Caicos Islands,TCA,1960-01-01,,Latin America & Caribbean,High income
Chad,TCD,1960-01-01,313582728.147574,Sub-Saharan Africa,Low income
East Asia & Pacific (IDA & IBRD countries),TEA,1960-01-01,80669679176.8241,,
Europe & Central Asia (IDA & IBRD countries),TEC,1960-01-01,,,
Togo,TGO,1960-01-01,171057069.137772,Sub-Saharan Africa,Low income
Thailand,THA,1960-01-01,2760750860.62197,East Asia & Pacific,Upper middle income
Tajikistan,TJK,1960-01-01,,Europe & Central Asia,Lower middle income
Turkmenistan,TKM,1960-01-01,,Europe & Central Asia,Upper middle income
Latin America & the Caribbean (IDA & IBRD countries),TLA,1960-01-01,79359156748.2322,,
Timor-Leste,TLS,1960-01-01,,East Asia & Pacific,Lower middle income
Middle East & North Africa (IDA & IBRD countries),TMN,1960-01-01,17842510180.4703,,
Tonga,TON,1960-01-01,,East Asia & Pacific,Upper middle income
South Asia (IDA & IBRD),TSA,1960-01-01,47274328378.8543,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,1960-01-01,35999878594.0433,,
Trinidad and Tobago,TTO,1960-01-01,535673252.260337,Latin America & Caribbean,High income
Tunisia,TUN,1960-01-01,,Middle East & North Africa,Lower middle income
Turkiye,TUR,1960-01-01,7566666666.66667,Europe & Central Asia,Upper middle income
Tuvalu,TUV,1960-01-01,,East Asia & Pacific,Upper middle income
Tanzania,TZA,1960-01-01,2651729807.38808,Sub-Saharan Africa,Lower middle income
Uganda,UGA,1960-01-01,423145605.043164,Sub-Saharan Africa,Low income
Ukraine,UKR,1960-01-01,,Europe & Central Asia,Upper middle income
Upper middle income,UMC,1960-01-01,179283983325.458,,
Uruguay,URY,1960-01-01,1242289239.20493,Latin America & Caribbean,High income
United States,USA,1960-01-01,541988586206.897,North America,High income
Uzbekistan,UZB,1960-01-01,,Europe & Central Asia,Lower middle income
St. Vincent and the Grenadines,VCT,1960-01-01,13066634.0000817,Latin America & Caribbean,Upper middle income
"Venezuela, RB",VEN,1960-01-01,7663938303.07172,Latin America & Caribbean,
British Virgin Islands,VGB,1960-01-01,,Latin America & Caribbean,High income
Virgin Islands (U.S.),VIR,1960-01-01,,Latin America & Caribbean,High income
Viet Nam,VNM,1960-01-01,,East Asia & Pacific,Lower middle income
Vanuatu,VUT,1960-01-01,,East Asia & Pacific,Lower middle income
World,WLD,1960-01-01,1371947205151.18,,
Samoa,WSM,1960-01-01,,East Asia & Pacific,Lower middle income
Kosovo,XKX,1960-01-01,,Europe & Central Asia,Upper middle income
"Yemen, Rep.",YEM,1960-01-01,,Middle East & North Africa,Low income
South Africa,ZAF,1960-01-01,8748596500.5614,Sub-Saharan Africa,Upper middle income
Zambia,ZMB,1960-01-01,698739720.783607,Sub-Saharan Africa,Lower middle income
Zimbabwe,ZWE,1960-01-01,1052990400.0,Sub-Saharan Africa,Lower middle income
Aruba,ABW,1961-01-01,,Latin America & Caribbean,High income
Africa Eastern and Southern,AFE,1961-01-01,24963977550.732,,
Afghanistan,AFG,1961-01-01,,South Asia,Low income
Africa Western and Central,AFW,1961-01-01,12707877772.0913,,
Angola,AGO,1961-01-01,,Sub-Saharan Africa,Lower middle income
Albania,ALB,1961-01-01,,Europe & Central Asia,Upper middle income
Andorra,AND,1961-01-01,,Europe & Central Asia,High income
Arab World,ARB,1961-01-01,19997084153.9204,,
United Arab Emirates,ARE,1961-01-01,,Middle East & North Africa,High income
Argentina,ARG,1961-01-01,,Latin America & Caribbean,Upper middle income
Armenia,ARM,1961-01-01,,Europe & Central Asia,Upper middle income
American Samoa,ASM,1961-01-01,,East Asia & Pacific,High income
Antigua and Barbuda,ATG,1961-01-01,,Latin America & Caribbean,High income
Australia,AUS,1961-01-01,19684003149.4405,East Asia & Pacific,High income
Austria,AUT,1961-01-01,7346566037.83392,Europe & Central Asia,High income
Azerbaijan,AZE,1961-01-01,,Europe & Central Asia,Upper middle income
Burundi,BDI,1961-01-01,202999991.80106,Sub-Saharan Africa,Low income
Belgium,BEL,1961-01-01,12561701694.3319,Europe & Central Asia,High income
Benin,BEN,1961-01-01,235668220.508202,Sub-Saharan Africa,Lower middle income
Burkina Faso,BFA,1961-01-01,350247234.260712,Sub-Saharan Africa,Low income
Bangladesh,BGD,1961-01-01,4817580375.0,South Asia,Lower middle income
Bulgaria,BGR,1961-01-01,,Europe & Central Asia,High income
Bahrain,BHR,1961-01-01,,Middle East & North Africa,High income
"Bahamas, The",BHS,1961-01-01,190021993.159208,Latin America & Caribbean,High income
Bosnia and Herzegovina,BIH,1961-01-01,,Europe & Central Asia,Upper middle income
Belarus,BLR,1961-01-01,,Europe & Central Asia,Upper middle income
Belize,BLZ,1961-01-01,29964999.965,Latin America & Caribbean,Upper middle income
Bermuda,BMU,1961-01-01,76500000.0,North America,High income
Bolivia,BOL,1961-01-01,406000000.0,Latin America & Caribbean,Lower middle income
Brazil,BRA,1961-01-01,17275940449.3837,Latin America & Caribbean,Upper middle income
Barbados,BRB,1961-01-01,85363759.3050333,Latin America & Caribbean,High income
Brunei Darussalam,BRN,1961-01-01,,East Asia & Pacific,High income
Bhutan,BTN,1961-01-01,,South Asia,Lower middle income
Botswana,BWA,1961-01-01,32902612.8664855,Sub-Saharan Africa,Upper middle income
Central African Republic,CAF,1961-01-01,123134583.463559,Sub-Saharan Africa,Low income
Canada,CAN,1961-01-01,41038192837.9035,North America,High income
Central Europe and the Baltics,CEB,1961-01-01,,,
Switzerland,CHE,1961-01-01,11713348834.3069,Europe & Central Asia,High income
Channel Islands,CHI,1961-01-01,,Europe & Central Asia,High income
Chile,CHL,1961-01-01,4829238095.2381,Latin America & Caribbean,High income
China,CHN,1961-01-01,50056685957.359,East Asia & Pacific,Upper middle income
Cote d'Ivoire,CIV,1961-01-01,618245634.179831,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,1961-01-01,652777608.320492,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",COD,1961-01-01,3086746857.14286,Sub-Saharan Africa,Low income
"Congo, Rep.",COG,1961-01-01,151675738.926342,Sub-Saharan Africa,Lower middle income
Colombia,COL,1961-01-01,4540447761.19403,Latin America & Caribbean,Upper middle income
Comoros,COM,1961-01-01,,Sub-Saharan Africa,Lower middle income
Cabo Verde,CPV,1961-01-01,,Sub-Saharan Africa,Lower middle income
Costa Rica,CRI,1961-01-01,490325181.614275,Latin America & Caribbean,Upper middle income
Caribbean small states,CSS,1961-01-01,699601326.176699,,
Cuba,CUB,1961-01-01,,Latin America & Caribbean,Upper middle income
Curacao,CUW,1961-01-01,,Latin America & Caribbean,High income
Cayman Islands,CYM,1961-01-01,,Latin America & Caribbean,High income
Cyprus,CYP,1961-01-01,,Europe & Central Asia,High income
Czechia,CZE,1961-01-01,,Europe & Central Asia,High income
Germany,DEU,1961-01-01,96558204043.1028,Europe & Central Asia,High income
Djibouti,DJI,1961-01-01,,Middle East & North Africa,Lower middle income
Dominica,DMA,1961-01-01,,Latin America & Caribbean,Upper middle income
Denmark,DNK,1961-01-01,7058361229.35415,Europe & Central Asia,High income
Dominican Republic,DOM,1961-01-01,654100200.0,Latin America & Caribbean,Upper middle income
Algeria,DZA,1961-01-01,2434747055.94018,Middle East & North Africa,Upper middle income
East Asia & Pacific (excluding high income),EAP,1961-01-01,71139478707.1349,,
Early-demographic dividend,EAR,1961-01-01,161302482593.386,,
East Asia & Pacific,EAS,1961-01-01,158406594384.514,,
Europe & Central Asia (excluding high income),ECA,1961-01-01,,,
Europe & Central Asia,ECS,1961-01-01,469110075856.153,,
Ecuador,ECU,1961-01-01,1753850955.05808,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,1961-01-01,4494575422.17787,Middle East & North Africa,Lower middle income
Euro area,EMU,1961-01-01,279722204488.921,,
Eritrea,ERI,1961-01-01,,Sub-Saharan Africa,Low income
Spain,ESP,1961-01-01,14238126759.7335,Europe & Central Asia,High income
Estonia,EST,1961-01-01,,Europe & Central Asia,High income
Ethiopia,ETH,1961-01-01,1680859514.1016,Sub-Saharan Africa,Low income
European Union,EUU,1961-01-01,316579871854.423,,
Fragile and conflict affected situations,FCS,1961-01-01,35668456087.2838,,
Finland,FIN,1961-01-01,5984433774.41601,Europe & Central Asia,High income
Fiji,FJI,1961-01-01,116987784.913739,East Asia & Pacific,Upper middle income
France,FRA,1961-01-01,66806595974.7159,Europe & Central Asia,High income
Faroe Islands,FRO,1961-01-01,,Europe & Central Asia,High income
"Micronesia, Fed. Sts.",FSM,1961-01-01,,East Asia & Pacific,Lower middle income
Gabon,GAB,1961-01-01,167637907.122782,Sub-Saharan Africa,Upper middle income
United Kingdom,GBR,1961-01-01,77741965703.3544,Europe & Central Asia,High income
Georgia,GEO,1961-01-01,,Europe & Central Asia,Upper middle income
Ghana,GHA,1961-01-01,1302674324.88378,Sub-Saharan Africa,Lower middle income
Gibraltar,GIB,1961-01-01,,Europe & Central Asia,High income
Guinea,GIN,1961-01-01,,Sub-Saharan Africa,Lower middle income
"Gambia, The",GMB,1961-01-01,,Sub-Saharan Africa,Low income
Guinea-Bissau,GNB,1961-01-01,,Sub-Saharan Africa,Low income
Equatorial Guinea,GNQ,1961-01-01,,Sub-Saharan Africa,Upper middle income
Greece,GRC,1961-01-01,4892397431.33292,Europe & Central Asia,High income
Grenada,GRD,1961-01-01,,Latin America & Caribbean,Upper middle income
Greenland,GRL,1961-01-01,,Europe & Central Asia,High income
Guatemala,GTM,1961-01-01,1076699900.0,Latin America & Caribbean,Upper middle income
Guam,GUM,1961-01-01,,East Asia & Pacific,High income
Guyana,GUY,1961-01-01,185849535.376162,Latin America & Caribbean,High income
High income,HIC,1961-01-01,1165197112448.35,,
"Hong Kong SAR, China",HKG,1961-01-01,1383681651.13776,East Asia & Pacific,High income
Honduras,HND,1961-01-01,356200000.0,Latin America & Caribbean,Lower middle income
Heavily indebted poor countries (HIPC),HPC,1961-01-01,22459725995.3549,,
Croatia,HRV,1961-01-01,,Europe & Central Asia,High income
Haiti,HTI,1961-01-01,271066000.0,Latin America & Caribbean,Lower middle income
Hungary,HUN,1961-01-01,,Europe & Central Asia,High income
IBRD only,IBD,1961-01-01,314825492753.681,,
IDA & IBRD total,IBT,1961-01-01,362462403613.598,,
IDA total,IDA,1961-01-01,45696271473.9688,,
IDA blend,IDB,1961-01-01,12720578451.4747,,
Indonesia,IDN,1961-01-01,,East Asia & Pacific,Upper middle income
IDA only,IDX,1961-01-01,33970460024.7388,,
Isle of Man,IMN,1961-01-01,,Europe & Central Asia,High income
India,IND,1961-01-01,39232435784.0358,South Asia,Lower middle income
Not classified,INX,1961-01-01,,,
Ireland,IRL,1961-01-01,2151772979.96956,Europe & Central Asia,High income
"Iran, Islamic Rep.",IRN,1961-01-01,4426949094.83828,Middle East & North Africa,Upper middle income
Iraq,IRQ,1961-01-01,1671960965.21561,Middle East & North Africa,Upper middle income
Iceland,ISL,1961-01-01,257703244.559997,Europe & Central Asia,High income
Israel,ISR,1961-01-01,3701628227.73845,Middle East & North Africa,High income
Italy,ITA,1961-01-01,46649487320.4225,Europe & Central Asia,High income
Jamaica,JAM,1961-01-01,748043500.7826,Latin America & Caribbean,Upper middle income
Jordan,JOR,1961-01-01,,Middle East & North Africa,Lower middle income
Japan,JPN,1961-01-01,57266758179.5883,East Asia & Pacific,High income
Kazakhstan,KAZ,1961-01-01,,Europe & Central Asia,Upper middle income
Kenya,KEN,1961-01-01,792959472.816211,Sub-Saharan Africa,Lower middle income
Kyrgyz Republic,KGZ,1961-01-01,,Europe & Central Asia,Lower middle income
Cambodia,KHM,1961-01-01,,East Asia & Pacific,Lower middle income
